epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1836.11,2.43036,3.16972,2.31969,0.01211,0.08065,0.00308,0.00081,3.89637,428.694,8.72486,0.000541419,0.000541419,0.000541419
2,3646.4,2.50806,3.14711,2.45777,0.00279,0.45161,0.00329,0.00086,3.63243,16440.8,151.694,0.00107536,0.00107536,0.00107536
3,5451.6,2.52415,3.19969,2.46267,0,0,0,0,5.14113,331869,237.46,0.0015873,0.0015873,0.0015873
4,7261.4,2.49351,3.09441,2.46236,0.01248,0.14516,0.00617,0.00182,3.44053,32.8026,6.01851,0.00156798,0.00156798,0.00156798
5,9054.38,2.46787,2.98153,2.41391,0.01804,0.20161,0.00862,0.00252,3.05262,22.3066,4.19794,0.00153497,0.00153497,0.00153497
6,10841.6,2.37079,2.85051,2.33665,0.1715,0.16129,0.05672,0.01696,2.67394,14.3028,2.79226,0.00150197,0.00150197,0.00150197
7,12794.6,2.28571,2.83486,2.27477,0.50932,0.10484,0.01228,0.00398,2.72884,19.7425,2.80509,0.00146896,0.00146896,0.00146896
8,14685.8,2.28376,2.79311,2.29142,0.14439,0.16129,0.10344,0.02949,2.59256,6.96383,2.83028,0.00143595,0.00143595,0.00143595
9,16546,2.27491,2.70843,2.2825,0.15347,0.23387,0.13818,0.03556,2.64067,5.36329,2.75877,0.00140295,0.00140295,0.00140295
10,18437.8,2.27269,2.65969,2.26951,0.25261,0.42742,0.23178,0.05912,2.67148,4.69899,2.64001,0.00136994,0.00136994,0.00136994
11,20237.6,2.18945,2.61027,2.20044,0.58529,0.21774,0.19396,0.09049,2.2949,3.21124,2.44026,0.00133693,0.00133693,0.00133693
12,22028.9,2.14766,2.52259,2.1718,0.25066,0.39438,0.19139,0.06288,2.2859,3.56929,2.40707,0.00130393,0.00130393,0.00130393
13,23830.2,2.16916,2.50856,2.17995,0.272,0.33871,0.26614,0.09473,2.21838,2.81007,2.45309,0.00127092,0.00127092,0.00127092
14,25649,2.11305,2.45783,2.11698,0.31887,0.44355,0.24973,0.0841,2.25773,2.5668,2.36455,0.00123791,0.00123791,0.00123791
15,27453,2.09757,2.39701,2.11596,0.36577,0.50806,0.30152,0.10642,2.25282,2.18205,2.39614,0.00120491,0.00120491,0.00120491
16,29247.4,2.09295,2.39872,2.11357,0.54165,0.4228,0.42992,0.1696,2.09013,2.60019,2.27816,0.0011719,0.0011719,0.0011719
17,31048.2,2.07055,2.37657,2.09179,0.28951,0.3629,0.25801,0.08772,2.34281,2.44226,2.43712,0.00113889,0.00113889,0.00113889
18,32857.4,2.06095,2.36404,2.07692,0.43785,0.50806,0.41591,0.15059,2.09229,2.24859,2.19313,0.00110589,0.00110589,0.00110589
19,34663.4,2.05995,2.31155,2.03871,0.3805,0.42229,0.26905,0.09845,2.24907,2.72418,2.37696,0.00107288,0.00107288,0.00107288
20,36463.8,1.99513,2.25632,2.03042,0.43521,0.31677,0.32133,0.12945,2.24043,2.50929,2.36855,0.00103987,0.00103987,0.00103987
21,38273.9,2.00683,2.24234,2.03127,0.44745,0.27419,0.33958,0.13455,2.21474,2.47924,2.33137,0.00100687,0.00100687,0.00100687
22,40100.9,1.96337,2.14521,1.98491,0.52384,0.42742,0.43954,0.17804,2.09223,2.12774,2.14829,0.000973861,0.000973861,0.000973861
23,41893.3,1.94185,2.14115,1.9744,0.52286,0.5,0.46518,0.1954,2.05772,2.05781,2.2009,0.000940855,0.000940855,0.000940855
24,43685.4,1.96189,2.16496,1.98299,0.60315,0.33829,0.42368,0.17077,2.30684,2.09702,2.34457,0.000907848,0.000907848,0.000907848
25,45482.4,1.93877,2.12279,1.9571,0.46512,0.56452,0.46221,0.19051,2.01924,2.03482,2.12181,0.000874842,0.000874842,0.000874842
26,47316.4,1.89491,2.07294,1.93777,0.43418,0.54839,0.44218,0.18032,2.01941,2.22641,2.199,0.000841835,0.000841835,0.000841835
27,49123.2,1.89224,2.00814,1.9499,0.44555,0.46774,0.43223,0.1626,2.22196,2.10495,2.3063,0.000808828,0.000808828,0.000808828
28,50916.8,1.88064,2.01593,1.9315,0.6512,0.52419,0.53804,0.22124,2.11757,2.02252,2.16989,0.000775822,0.000775822,0.000775822
29,52710.7,1.87223,2.01917,1.91648,0.65526,0.4256,0.46137,0.18675,2.14593,2.20759,2.18981,0.000742815,0.000742815,0.000742815
30,54507,1.89384,1.97065,1.91831,0.84362,0.55645,0.60954,0.26342,2.01394,1.87789,2.1602,0.000709809,0.000709809,0.000709809
31,56312.1,1.82492,1.90905,1.88517,0.50188,0.41129,0.39646,0.14746,2.19141,2.16662,2.26276,0.000676802,0.000676802,0.000676802
32,58100.6,1.88163,1.95086,1.91664,0.61039,0.58415,0.52801,0.23746,1.94047,2.05807,2.10498,0.000643795,0.000643795,0.000643795
33,59893.3,1.84668,1.92094,1.88528,0.63478,0.5,0.54731,0.23577,2.00665,1.9416,2.15906,0.000610789,0.000610789,0.000610789
34,61688.4,1.78862,1.89538,1.8745,0.54269,0.50806,0.49103,0.22082,1.96225,2.05008,2.05951,0.000577782,0.000577782,0.000577782
35,63491,1.81642,1.81725,1.85483,0.5907,0.54057,0.56195,0.24606,2.00677,1.89606,2.07421,0.000544776,0.000544776,0.000544776
36,65284.4,1.82036,1.84661,1.8549,0.64479,0.54839,0.54178,0.25933,1.91766,1.93862,2.03473,0.000511769,0.000511769,0.000511769
37,67070.3,1.78579,1.76424,1.81971,0.66641,0.62097,0.57888,0.24781,1.90268,1.87429,2.05722,0.000478762,0.000478762,0.000478762
38,68862.5,1.74992,1.7676,1.81298,0.77755,0.62027,0.63079,0.31053,1.91077,1.7054,2.01666,0.000445756,0.000445756,0.000445756
39,70654.7,1.77725,1.74627,1.82661,0.74591,0.56785,0.6116,0.26521,1.91666,1.85374,2.02798,0.000412749,0.000412749,0.000412749
40,72447.6,1.7356,1.71147,1.78042,0.65174,0.56452,0.57435,0.25452,1.97801,1.87737,2.07163,0.000379743,0.000379743,0.000379743
41,74186.2,1.80274,1.75632,1.88358,0.80833,0.61111,0.65154,0.32071,1.89595,1.85986,2.07325,0.000346736,0.000346736,0.000346736
42,75926.2,1.75957,1.63835,1.86865,0.73998,0.55381,0.58049,0.2599,1.90376,1.85619,2.0644,0.000313729,0.000313729,0.000313729
