epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,567.307,2.26842,3.71988,2.18318,0.13904,0.17648,0.07155,0.01973,3.07369,4.39002,2.76612,0.000541419,0.000541419,0.000541419
2,1143.76,2.27891,2.74818,2.1205,0.24974,0.28226,0.15098,0.05267,2.86433,7.69868,3.29075,0.00107536,0.00107536,0.00107536
3,1682.88,2.32122,2.59679,2.1398,0.03034,0.30645,0.03249,0.01118,3.22313,12.4475,3.43369,0.0015873,0.0015873,0.0015873
4,2210.36,2.26035,2.56659,2.11678,0.04069,0.05645,0.00765,0.00275,4.09047,410.75,6.40844,0.00156798,0.00156798,0.00156798
5,2737.39,2.27386,2.49558,2.11852,0.28584,0.10484,0.07966,0.02822,4.07174,43.7833,4.46563,0.00153497,0.00153497,0.00153497
6,3240.26,2.21152,2.40471,2.09459,0.14789,0.24674,0.07307,0.02547,3.08296,5.67909,2.99962,0.00150197,0.00150197,0.00150197
7,3747.77,2.16968,2.41294,2.03359,0.07463,0.3871,0.07284,0.02543,2.45211,4.92784,2.39114,0.00146896,0.00146896,0.00146896
8,4261.16,2.13351,2.32934,2.01805,0.21274,0.42742,0.24311,0.08283,2.33838,4.70375,2.19394,0.00143595,0.00143595,0.00143595
9,4801.58,2.13062,2.36444,2.01951,0.19012,0.39516,0.14536,0.04357,2.49246,3.66685,2.44262,0.00140295,0.00140295,0.00140295
10,5331.51,2.10164,2.24445,1.9847,0.27619,0.51613,0.35638,0.14275,2.13386,2.58138,1.96791,0.00136994,0.00136994,0.00136994
11,5875.97,2.05333,2.18661,1.94314,0.43238,0.41935,0.38515,0.13983,2.1548,2.75746,1.98857,0.00133693,0.00133693,0.00133693
12,6412.44,2.01072,2.128,1.89497,0.51304,0.20968,0.26229,0.08877,2.31412,2.90063,2.05688,0.00130393,0.00130393,0.00130393
13,6950.09,1.99372,2.13209,1.88284,0.35226,0.41129,0.35267,0.13037,2.13589,2.81688,2.00622,0.00127092,0.00127092,0.00127092
14,7495.17,1.98858,2.0792,1.87673,0.42116,0.48224,0.33542,0.15595,2.22677,2.40911,2.00005,0.00123791,0.00123791,0.00123791
15,8064.8,1.98399,2.05599,1.88926,0.66564,0.38372,0.46435,0.22418,2.11982,2.11473,1.94722,0.00120491,0.00120491,0.00120491
16,8564.9,1.95624,2.02179,1.82826,0.35859,0.6129,0.39915,0.14043,2.12079,2.32696,1.94771,0.0011719,0.0011719,0.0011719
17,9066.02,1.94008,2.02504,1.85597,0.51315,0.39234,0.44857,0.19527,2.00981,2.26959,1.78603,0.00113889,0.00113889,0.00113889
